Building[A][9],Built,City,Country,Floors,Height (ft),Height (m)[3],Rank
23 Marina,2012,Dubai,UAE,89,"1,296 ft",395 m,25
432 Park Avenue,2015,New York City,United States,88,"1,397 ft",426 m,19
Abeno Harukas,2014,Osaka,Japan,60,984 ft,300 m,129
Abraj Al-Bait Clock Tower,2012,Mecca,Saudi Arabia,120,"1,971 ft",601 m,3
ADNOC Headquarters,2015,Abu Dhabi,UAE,76,"1,122 ft",342 m,52
Ahmed Abdul Rahim Al Attar Tower,2015,Dubai,UAE,76,"1,122 ft",342 m,52
Al Hamra Tower,2011,Kuwait City,Kuwait,80,"1,354 ft",413 m,23
Al Yaqoub Tower,2013,Dubai,UAE,69,"1,076 ft",328 m,70
Almas Tower,2009,Dubai,UAE,68,"1,191 ft",363 m,39
Aon Center,1973,Chicago,United States,83,"1,136 ft",346 m,49
Arraya 2,2009,Kuwait City,Kuwait,60,984 ft,300 m,129
Aspire Tower,2007,Doha,Qatar,36,984 ft,300 m,129
Baiyoke Tower II,1997,Bangkok,Thailand,85,997 ft,304 m,111
Bank of America Plaza,1992,Atlanta,United States,55,"1,024 ft",312 m,91
Bank of America Tower,2009,New York City,United States,54,"1,200 ft",366 m,38
Bank of China Tower,1990,Hong Kong,China,70,"1,205 ft",367 m,37
Building,Built,City,Country,Floors,Height (ft),Height (m),Rank
Burj Al Arab,1999,Dubai,UAE,60,"1,053 ft",321 m,80
Burj Khalifa,2010,Dubai,UAE,163,"2,717 ft",828 m,1
Burj Mohammed bin Rashid,2014,Abu Dhabi,UAE,88,"1,251 ft",381 m,30
Burj Rafal,2013,Riyadh,Saudi Arabia,68,"1,010 ft",308 m,100
Capital Market Authority Headquarters,2016,Riyadh,Saudi Arabia,77,"1,263 ft",385 m,27
Cayan Tower,2013,Dubai,UAE,76,"1,005 ft",306 m,104
Central Plaza,1992,Hong Kong,China,78,"1,227 ft",374 m,33
Changsha IFS Tower T2,2017,Changsha,China,65,"1,032 ft",315 m,88
China World Trade Center Tower 3,2009,Beijing,China,74,"1,083 ft",330 m,65
Chongqing IFS T1,2016,Chongqing,China,65,"1,037 ft",316 m,87
Chongqing World Financial Center,2014,Chongqing,China,78,"1,112 ft",339 m,54
Chrysler Building,1930,New York City,United States,77,"1,046 ft",319 m,83
CITIC Plaza,1996,Guangzhou,China,80,"1,283 ft",391 m,26
Commerzbank Tower,1997,Franfurt,Germany,56,984 ft,300 m,129
CTF Finance Centre,2016,Guangzhou,China,111,"1,740 ft",530 m,7
Dalian International Trade Center,2016,Dalian,China,86,"1,214 ft",370 m,35
Deji Plaza Phase 2,2013,Nanjing,China,62,"1,063 ft",324 m,75
Diwang International Fortune Center,2015,Liuzhou,China,75,994 ft,303 m,115
East Pacific Center Tower A,2012,Shenzhen,China,85,"1,004 ft",306 m,105
Elite Residence,2012,Dubai,UAE,87,"1,248 ft",381 m,32
Emirates Office Tower,2000,Dubai,UAE,54,"1,163 ft",355 m,42
Empire State Building,1931,New York City,United States,102,"1,250 ft",381 m,31
Etihad Tower 2,2011,Abu Dhabi,UAE,79,"1,002 ft",305 m,108
Eton Place Dalian Tower 1,2015,Dalian,China,81,"1,257 ft",383 m,29
Federation Tower (East Tower),2015,Moscow,Russia,95,"1,227 ft",374 m,33
Fortune Center,2015,Guangzhou,China,68,"1,015 ft",309 m,97
Forum 66 Tower 2,2015,Shenyang,China,68,"1,152 ft",351 m,45
Franklin Center,1989,Chicago,United States,60,"1,007 ft",307 m,103
Gate of the Orient,2015,Suzhou,China,68,990 ft,302 m,124
Global City Square,2015,Guangzhou,China,67,"1,046 ft",319 m,83
Gran Torre Santiago,2012,Santiago,Chile,62,984 ft,300 m,129
Greenland Puli Center,2015,Jinan,China,60,994 ft,303 m,115
Guangxi Finance Plaza,2016,Nanning,China,68,"1,066 ft",325 m,74
Guangzhou International Finance Center,2010,Guangzhou,China,103,"1,440 ft",440 m,16
HHHR Tower,2010,Dubai,UAE,72,"1,042 ft",317 m,86
Hon Kwok City Center,2015,Shenzhen,China,80,"1,081 ft",329 m,69
Huachuang International Plaza,2017,Changsha,China,66,984 ft,301 m,126
International Commerce Centre,2010,Hong Kong,China,118,"1,588 ft",484 m,10
Jiangxi Nanchang Greenland Central Plaza 1,2015,Nanchang,China,59,994 ft,303 m,115
Jiangxi Nanchang Greenland Central Plaza 2,2015,Nanchang,China,59,994 ft,303 m,115
Jin Mao Tower,1999,Shanghai,China,88,"1,380 ft",421 m,21
John Hancock Center,1969,Chicago,United States,100,"1,128 ft",344 m,51
JPMorgan Chase Tower,1982,Houston,United States,75,"1,002 ft",305 m,108
Jumeirah Emirates Towers Hotel,2000,Dubai,UAE,56,"1,014 ft",309 m,98
JW Marriott Marquis Dubai Tower 1,2012,Dubai,UAE,82,"1,166 ft",355 m,40
JW Marriott Marquis Dubai Tower 2,2012,Dubai,UAE,82,"1,166 ft",355 m,40
KAFD World Trade Center,2015,Riyadh,Saudi Arabia,67,994 ft,303 m,115
